Sl_No,Site Size,Type,Layout Details,Site_No,E to W,N to S,Total_Area (in sq.m),Lat,Long,Lat,Long,Google Maps Link,Layout,Block,Village,Survey.No.,"Contact Number - Site Information Coordinator
9am-5pm on working days",Rate Per Sq.Mtr in Rs.,Rate per sq.ft in Rs.,Total Area (in sq ft),Total Minimum Bid Price 
22,Regular,Corner,"Sir M.V. Layout, 6th Block, Ullalu",2643,12,12,144,12.956793,77.473419,12.956793,77.473419,"https://www.google.com/maps?q=12.956793,77.473419",Sir M V  Layout,6th,Ullalu,199,7975861995,84000,7804,#REF!,#REF!
23,Regular,Corner,"Sir M.V. Layout, 4th Block, Ramasandra",3367,10.4,18,187.2,12.945243,77.470487,12.945243,77.470487,"https://www.google.com/maps?q=12.945243,77.470487",Sir M V  Layout,4th,Ramasandra,5,6362956998,84000,7804,#REF!,#REF!
24,Regular,Corner,"Sir M.V. Layout, 4th Block, Ramasandra",3374,11.4,18,205.2,12.945136,77.471225,12.945136,77.471225,"https://www.google.com/maps?q=12.945136,77.471225",Sir M V  Layout,4th,Ramasandra,5,6362956998,84000,7804,#REF!,#REF!
25,Regular,Corner,"Sir M.V. Layout, 2nd Block, Ramasandra",756,15,24,360,12.934259,77.474932,12.934259,77.474932,"https://www.google.com/maps?q=12.934259,77.474932",Sir M V  Layout,2th,Ramasandra,35/E & 35/1B,6362956998,84000,7804,#REF!,#REF!
26,Regular,Corner,"Kengeri Satellite, Kengeri",1990,6.7,13.7,91.75,12.921477,77.485053,12.921477,77.485053,"https://www.google.com/maps?q=12.921477,77.485053",Kengeri Sattellite,NA,Kengeri,6,8147510380,96250,8942,#REF!,#REF!
27,Odd,Corner,"BSK 6th Stage (Corner) 9th Block, Hemmigepura",78D,12,(11.50+13.00)/2,147,Not Found,,Not Found,,NA,BSK 6th Stage (Corner),9th,Hemmigepura,108,9844916955,60000,5574,#REF!,#REF!
28,Regular,Corner,"BSK 6th Stage (Corner) 9th Block, Hemmigepura",275,(12.30+13.70)/2,12,156,12.888569,77.488348,12.888569,77.488348,"https://www.google.com/maps?q=12.888569,77.488348",BSK 6th Stage (Corner),9th,Hemmigepura,55,9844916955,60000,5574,#REF!,#REF!
29,Regular,Corner,"BSK 6th Stage (Corner) 6th Block, Lingadeeranahalli",1464,17.5,12,210,12.876535,77.50614,12.876535,77.50614,"https://www.google.com/maps?q=12.876535,77.50614",BSK 6th Stage (Corner),6th,Lingadiranahalli,21,9844916955,72650,6749,#REF!,#REF!
30,Regular,Corner,"BSK 6th Stage (Corner) 6th Block, Sompura",1478,(10.30+9.00)/2,12,115.8,12.877124,77.505046,12.877124,77.505046,"https://www.google.com/maps?q=12.877124,77.505046",BSK 6th Stage (Corner),6th,Sompura,18,9844916955,72650,6749,#REF!,#REF!
31,Regular,Corner,"BSK 6th Stage (Corner) 9th Block, Hemmigepura",760,(20.50+24.50)/2,13,292.5,Not Found,,Not Found,,NA,BSK 6th Stage (Corner),9th,Hemmigepura,70,9844916955,60000,5574,#REF!,#REF!
32,Regular,Corner,"BSK 6th Stage (Corner) 1st Block, Turahalli",807/F,(11.00+5.00)/2,24,192,12.897409,77.523417,12.897409,77.523417,"https://www.google.com/maps?q=12.897409,77.523417",BSK 6th Stage (Corner),1st,Turahalli,30,8147799282,69000,6410,#REF!,#REF!
33,Regular,Corner,"BSK 6th Stage (Corner) 1st Block, Turahalli",806,(8.00+5.00)/2,18,117,12.897337,77.523612,12.897337,77.523612,"https://www.google.com/maps?q=12.897337,77.523612",BSK 6th Stage (Corner),1st,Turahalli,30,8147799282,69000,6410,#REF!,#REF!
34,Regular,Corner,"BSK 6th Stage (Corner) 1st Block, Turahalli",719,(10.00+9.00)/2,12,114,12.897179,77.524143,12.897179,77.524143,"https://www.google.com/maps?q=12.897179,77.524143",BSK 6th Stage (Corner),1st,Turahalli,30,8147799282,69000,6410,#REF!,#REF!
35,Regular,Corner,"BSK 6th Stage (Corner) 1st Block, Turahalli",766/A,(11.50+10.00)/2,12,129,12.897266,77.52384,12.897266,77.52384,"https://www.google.com/maps?q=12.897266,77.52384",BSK 6th Stage (Corner),1st,Turahalli,30,8147799282,69000,6410,#REF!,#REF!
36,Regular,Corner,"BSK 6th Stage (Corner) 4th  Block, Lingadeeranahalli",1689,(20.00+12.50)/2,12,195,12.870396,77.510947,12.870396,77.510947,"https://www.google.com/maps?q=12.870396,77.510947",BSK 6th Stage (Corner),4th,Lingadeeranahalli,16,8147799282,69300,6438,#REF!,#REF!
37,Regular,Corner,"BSK 6th Stage (Corner) 4th  Block, Lingadeeranahalli",1690,(12.50+7.00)/2,12,117,12.870292,77.510868,12.870292,77.510868,"https://www.google.com/maps?q=12.870292,77.510868",BSK 6th Stage (Corner),4th,Lingadeeranahalli,16,8147799282,69300,6438,#REF!,#REF!
38,Regular,Intermediate,"JP Nagr 8th Stage, 2 EWS Block, Kothanur",39,12.2,10,122,12.865984,77.585428,12.865984,77.585428,"https://www.google.com/maps?q=12.865984,77.585428",JP NAGAR 8th Phase,2 EWS,Kothanur,42,8310525317,100000,9290,#REF!,#REF!
39,Regular,Corner,"JP Nagr 8th Stage, 2 EWS Block, Kothanur",48/A,20,5,100,12.866762,77.585665,12.866762,77.585665,"https://www.google.com/maps?q=12.866762,77.585665",JP NAGAR 8th Phase,2 EWS,Kothanur,42,8310525317,100000,9290,#REF!,#REF!
40,Regular,Corner,"JP Nagr 8th Stage, 2 EWS Block, Kothanur",79/A,9,12,108,12.866999,77.58572,12.866999,77.58572,"https://www.google.com/maps?q=12.866999,77.58572",JP NAGAR 8th Phase,2 EWS,Kothanur,42,8310525317,100000,9290,#REF!,#REF!
41,Regular,Corner,"JP Nagr 8th Stage, 2 EWS Block, Kothanur",87,(8.50+10.00)/2,12,111,12.86712,77.584935,12.86712,77.584935,"https://www.google.com/maps?q=12.86712,77.584935",JP NAGAR 8th Phase,2 EWS,Kothanur,42,8310525317,100000,9290,#REF!,#REF!
42,Regular,Corner,"F.E. Of Anjanapura, 5th G Block, Gollahalli",100,(16.00+16.30)/2,17.5,282.62,12.856682,77.561935,12.856682,77.561935,"https://www.google.com/maps?q=12.856682,77.561935",F.E OF ANJANAPURA,5TH G,Gollahalli,55/1,8310525317,67500,6271,#REF!,#REF!
43,Regular,Corner,"Banashenkari 6th Stage, 6th Block, Sompura",1313,(16.0+14.0)/2,18,270,12.879397,77.506443,12.879397,77.506443,"https://www.google.com/maps?q=12.879397,77.506443",BANASHNKARI 6TH STAGE,6th,Sompura,18,9844916955,72650,6749,#REF!,#REF!
44,Regular,Corner,"Banashenkari 6th Stage, 6th Block, Sompura",10,(9.5+9)/2,18,166.5,12.879584,77.506091,12.879584,77.506091,"https://www.google.com/maps?q=12.879584,77.506091",BANASHNKARI 6TH STAGE,6th,Sompura,18,9844916955,72650,6749,#REF!,#REF!
45,Odd,Corner,"Banashenkari 6th Stage, 6th Block, Sompura",11,12,(8+10)/2,108,12.879381,77.50596,12.879381,77.50596,"https://www.google.com/maps?q=12.879381,77.50596",BANASHNKARI 6TH STAGE,6th,Sompura,18,9844916955,72650,6749,#REF!,#REF!
46,Regular,Corner,"Banashenkari 6th Stage, 6th Block, Sompura",1312,(12.2+14.0)/2,18,235.8,12.879544,77.506522,12.879544,77.506522,"https://www.google.com/maps?q=12.879544,77.506522",BANASHNKARI 6TH STAGE,6th,Sompura,18,9844916955,72650,6749,#REF!,#REF!
47,Odd,Corner,"Banashenkari 6th Stage, 6th Block, Sompura",32,12,(10+9)/2,114,12.877906,77.505087,12.877906,77.505087,"https://www.google.com/maps?q=12.877906,77.505087",BANASHNKARI 6TH STAGE,6th,Sompura,18,9844916955,72650,6749,#REF!,#REF!
48,Regular,Corner,"Banashenkari 6th Stage, 5th Block, Lingadeeranahalli",1670,(11.00+18.80)/2,12,178.8,12.872814,77.507895,12.872814,77.507895,"https://www.google.com/maps?q=12.872814,77.507895",BANASHNKARI 6TH STAGE,5th,Lingadeeranahalli,16,8147799282,69300,6438,#REF!,#REF!
49,Regular,Corner,"Banashenkari 6th Stage, 5th Block, Lingadeeranahalli",1689,(24.00+12.50)/2,18,328.5,12.87296,77.507828,12.87296,77.507828,"https://www.google.com/maps?q=12.87296,77.507828",BANASHNKARI 6TH STAGE,5th,Lingadeeranahalli,16,8147799282,69300,6438,#REF!,#REF!
50,Regular,Corner,"Banashenkari 6th Stage, 5th Block, Lingadeeranahalli",1690,(7.50+21.00)/2,18,256.5,12.873251,77.507659,12.873251,77.507659,"https://www.google.com/maps?q=12.873251,77.507659",BANASHNKARI 6TH STAGE,5th,Lingadeeranahalli,16,8147799282,69300,6438,#REF!,#REF!
51,Regular,Corner,"Banashenkari 6th Stage, 5th Block, Lingadeeranahalli",1700,12,18,216,12.873121,77.508786,12.873121,77.508786,"https://www.google.com/maps?q=12.873121,77.508786",BANASHNKARI 6TH STAGE,5th,Lingadeeranahalli,16,8147799282,69300,6438,#REF!,#REF!
52,Odd,Corner,"Banashenkari 6th Stage, 5th Block, Lingadeeranahalli",847,12,(8.60+8.30)/2,101.4,12.876451,77.509692,12.876451,77.509692,"https://www.google.com/maps?q=12.876451,77.509692",BANASHNKARI 6TH STAGE,5th,Lingadeeranahalli,20,8147799282,69300,6438,#REF!,#REF!
